transaction_id,partner_name,month,year,sale_value,country,region
1,Amaiziong,9,2022,5966243,China,GC
2,Guruguru,6,2023,5626525,Denmark,EMEA
3,Factsbook,9,2023,6564358,Germany,EMEA
4,Apuru,1,2023,3972282,Oman,EMEA
5,Netofliksu,12,2023,8853277,Germany,EMEA
6,Amaiziong,1,2022,6968878,Austria,EMEA
7,Guruguru,7,2023,8068124,Namibia,EMEA
8,Factsbook,11,2022,7093750,Oman,EMEA
9,Apuru,1,2022,231755,Namibia,EMEA
10,Netofliksu,5,2022,5326224,Germany,EMEA
11,Amaiziong,6,2022,9879237,Vietnam,APJ
12,Guruguru,11,2023,1575504,Uruguay,AMERICAS
13,Factsbook,4,2022,5314584,Namibia,EMEA
14,Apuru,11,2022,4434090,Germany,EMEA
15,Netofliksu,2,2023,7178656,Japan,APJ
16,Amaiziong,11,2023,9046161,USA,AMERICAS
17,Guruguru,3,2023,8601375,Namibia,EMEA
18,Factsbook,5,2022,8493378,USA,AMERICAS
19,Apuru,4,2023,9843882,Vietnam,APJ
20,Netofliksu,2,2023,6696529,Uruguay,AMERICAS
21,Amaiziong,4,2023,2040618,USA,AMERICAS
22,Guruguru,5,2022,2141622,Denmark,EMEA
23,Factsbook,12,2023,8325293,Austria,EMEA
24,Apuru,8,2023,7659454,Denmark,EMEA
25,Netofliksu,1,2022,9646161,Oman,EMEA
26,Amaiziong,12,2022,4374674,Namibia,EMEA
27,Guruguru,9,2023,7612093,China,GC
28,Factsbook,1,2023,4342916,Oman,EMEA
29,Apuru,12,2022,7679390,Oman,EMEA
30,Netofliksu,11,2022,559487,Japan,APJ
31,Amaiziong,7,2023,2885397,Vietnam,APJ
32,Guruguru,10,2022,3036857,Japan,APJ
33,Factsbook,6,2023,8309576,Japan,APJ
34,Apuru,3,2022,3643707,China,GC
35,Netofliksu,9,2022,1646066,Austria,EMEA
36,Amaiziong,3,2022,8096147,Denmark,EMEA
37,Guruguru,4,2023,4150105,Namibia,EMEA
38,Factsbook,7,2022,1757408,Oman,EMEA
39,Apuru,6,2022,8016992,China,GC
40,Netofliksu,3,2023,6531303,Namibia,EMEA
41,Amaiziong,4,2022,5351848,Uruguay,AMERICAS
42,Guruguru,6,2023,738235,Japan,APJ
43,Factsbook,10,2023,6128149,USA,AMERICAS
44,Apuru,11,2023,6040144,China,GC
45,Netofliksu,8,2022,9906561,China,GC
46,Amaiziong,1,2022,2543313,Germany,EMEA
47,Guruguru,8,2023,7468677,Denmark,EMEA
48,Factsbook,3,2022,5277733,Germany,EMEA
49,Apuru,6,2022,6953221,Germany,EMEA
50,Netofliksu,8,2022,7821904,USA,AMERICAS
51,Amaiziong,5,2022,658908,China,GC
52,Guruguru,7,2023,7967483,Namibia,EMEA
53,Factsbook,2,2023,8580595,Oman,EMEA
54,Apuru,12,2022,967355,Oman,EMEA
55,Netofliksu,2,2022,521118,Vietnam,APJ
56,Amaiziong,4,2022,1264041,Vietnam,APJ
57,Guruguru,10,2023,6546417,Vietnam,APJ
58,Factsbook,1,2022,4930516,Germany,EMEA
59,Apuru,1,2023,5370969,Vietnam,APJ
60,Netofliksu,12,2023,6421949,USA,AMERICAS
61,Amaiziong,8,2022,3663557,Namibia,EMEA
62,Guruguru,6,2022,8798310,Vietnam,APJ
63,Factsbook,5,2022,6828273,Namibia,EMEA
64,Apuru,8,2022,9161826,USA,AMERICAS
65,Netofliksu,3,2022,7696987,Denmark,EMEA
66,Amaiziong,10,2023,4508820,Austria,EMEA
67,Guruguru,12,2023,6134178,Uruguay,AMERICAS
68,Factsbook,1,2022,4269602,USA,AMERICAS
69,Apuru,1,2023,4440341,Oman,EMEA
70,Netofliksu,11,2023,3105231,Uruguay,AMERICAS
71,Amaiziong,4,2022,4035173,Japan,APJ
72,Guruguru,11,2022,2390024,Japan,APJ
73,Factsbook,2,2023,8001047,Denmark,EMEA
74,Apuru,3,2022,6382135,Namibia,EMEA
75,Netofliksu,9,2023,9713993,Oman,EMEA
76,Amaiziong,1,2022,3656851,China,GC
77,Guruguru,6,2022,4079390,Austria,EMEA
78,Factsbook,10,2022,9920857,Namibia,EMEA
79,Apuru,10,2022,3698040,Germany,EMEA
80,Netofliksu,10,2023,8043871,Denmark,EMEA
81,Amaiziong,4,2023,1399145,Denmark,EMEA
82,Guruguru,7,2023,5387221,Japan,APJ
83,Factsbook,5,2023,6475902,Oman,EMEA
84,Apuru,6,2022,6310457,Austria,EMEA
85,Netofliksu,4,2022,2242041,Oman,EMEA
86,Amaiziong,6,2022,608480,Austria,EMEA
87,Guruguru,2,2022,5036233,Oman,EMEA
88,Factsbook,3,2022,6565278,Uruguay,AMERICAS
89,Apuru,1,2023,4100499,Germany,EMEA
90,Netofliksu,7,2022,9084650,Austria,EMEA
91,Amaiziong,5,2022,5986430,Denmark,EMEA
92,Guruguru,3,2023,747874,China,GC
93,Factsbook,8,2023,6987820,Japan,APJ
94,Apuru,12,2022,8044432,Denmark,EMEA
95,Netofliksu,4,2022,9054182,Japan,APJ
96,Amaiziong,12,2022,8387260,China,GC
97,Guruguru,6,2022,8698682,Vietnam,APJ
98,Factsbook,2,2022,6230897,China,GC
99,Apuru,12,2023,535413,Vietnam,APJ
100,Netofliksu,10,2023,4938100,Vietnam,APJ
101,Amaiziong,7,2022,89026,Vietnam,APJ
102,Guruguru,3,2022,5109920,Japan,APJ
103,Factsbook,10,2023,6447434,USA,AMERICAS
104,Apuru,6,2023,8500562,Denmark,EMEA
105,Netofliksu,2,2023,5887489,Vietnam,APJ
106,Amaiziong,2,2023,5580130,Germany,EMEA
107,Guruguru,9,2023,2653553,Vietnam,APJ
108,Factsbook,7,2022,3757283,China,GC
109,Apuru,6,2023,7305166,USA,AMERICAS
110,Netofliksu,2,2022,6318998,Germany,EMEA
111,Amaiziong,1,2023,6312812,Austria,EMEA
112,Guruguru,9,2022,1918167,Namibia,EMEA
113,Factsbook,3,2022,4606452,Germany,EMEA
114,Apuru,11,2022,9632616,Vietnam,APJ
115,Netofliksu,4,2022,1127109,Namibia,EMEA
116,Amaiziong,3,2023,8650058,Austria,EMEA
117,Guruguru,5,2023,3474150,USA,AMERICAS
118,Factsbook,7,2023,2843816,Uruguay,AMERICAS
119,Apuru,10,2022,4865584,Japan,APJ
120,Netofliksu,12,2022,6832649,Oman,EMEA
121,Amaiziong,1,2023,5615109,Austria,EMEA
122,Guruguru,3,2023,4851630,USA,AMERICAS
123,Factsbook,3,2022,9805515,Austria,EMEA
124,Apuru,4,2022,7269021,USA,AMERICAS
125,Netofliksu,11,2023,6191440,Denmark,EMEA
126,Amaiziong,9,2022,6767485,Uruguay,AMERICAS
127,Guruguru,9,2022,5779630,China,GC
128,Factsbook,4,2022,5456790,Vietnam,APJ
129,Apuru,1,2022,9414309,Uruguay,AMERICAS
130,Netofliksu,7,2023,1806039,USA,AMERICAS
131,Amaiziong,9,2022,4012412,Oman,EMEA
132,Guruguru,9,2022,9974710,Germany,EMEA
133,Factsbook,10,2022,2514684,Germany,EMEA
134,Apuru,8,2023,2553982,Vietnam,APJ
135,Netofliksu,6,2023,5264334,Denmark,EMEA
136,Amaiziong,10,2022,7298304,Oman,EMEA
137,Guruguru,1,2022,8018034,USA,AMERICAS
138,Factsbook,9,2022,3719928,Germany,EMEA
139,Apuru,9,2022,2738463,Namibia,EMEA
140,Netofliksu,1,2023,8156930,Germany,EMEA
141,Amaiziong,4,2023,3521988,Uruguay,AMERICAS
142,Guruguru,10,2023,4518944,Namibia,EMEA
143,Factsbook,4,2022,3705009,China,GC
144,Apuru,11,2023,2302593,Uruguay,AMERICAS
145,Netofliksu,8,2023,347871,Denmark,EMEA
146,Amaiziong,11,2023,1981363,Austria,EMEA
147,Guruguru,8,2023,270744,Vietnam,APJ
148,Factsbook,8,2022,7067562,Austria,EMEA
149,Apuru,3,2023,9511359,Vietnam,APJ
150,Netofliksu,1,2022,603580,Austria,EMEA
151,Amaiziong,6,2022,2250801,USA,AMERICAS
152,Guruguru,11,2022,3615922,Namibia,EMEA
153,Factsbook,11,2022,6078708,Germany,EMEA
154,Apuru,5,2023,8849412,Uruguay,AMERICAS
